family_name,median,ci_lower,ci_upper,n,mass_in_band,selection,replicate
Cahuapanan,21.0,18.0,21.0,3,0.5326678147786723,random,1
Cariban,21.0,20.0,23.0,30,0.609441807585818,random,1
Central Sudanic,45.0,39.0,49.0,25,0.7041298922840803,random,1
Chapacuran,21.0,18.0,21.0,3,0.5326678147786723,random,1
Chibchan,25.5,22.0,28.0,12,0.8486377203918675,random,1
Chicham,21.0,20.5,25.0,6,0.763346502754851,random,1
Chimakuan,37.0,37.0,37.0,1,,random,1
Chiquitano,26.0,26.0,26.0,1,,random,1
Chocoan,33.0,31.0,38.0,7,0.9999137837105174,random,1
Chonan,35.0,29.0,35.0,3,0.999795413016374,random,1
Chukotko-Kamchatkan,24.5,21.5,32.0,6,0.8352077217355021,random,1
Chumashan,44.0,44.0,44.0,1,,random,1
Cochimi-Yuman,34.0,34.0,38.0,3,0.9999999999756708,random,1
Dajuic,30.0,30.0,30.0,1,,random,1
Dizoid,30.0,30.0,30.0,1,,random,1
Dogon,28.0,28.0,47.0,3,0.7637632181998305,random,1
Dravidian,38.5,36.0,42.0,42,0.8173770097689298,random,1
East Strickland,18.0,18.0,18.0,1,,random,1
Eastern Daly,22.0,22.0,22.0,1,,random,1
Eastern Jebel,49.0,49.0,49.0,2,,random,1
Eleman,14.0,14.0,14.0,1,,random,1
Eskimo-Aleut,27.0,22.0,36.0,7,0.8477830960348045,random,1
Furan,30.0,30.0,30.0,1,,random,1
Garrwan,17.0,17.0,20.0,4,0.12729126683248018,random,1
Giimbiyu,23.0,23.0,23.0,3,,random,1
Great Andamanese,35.0,35.0,35.0,2,,random,1
Guahiboan,25.0,22.0,29.0,5,0.9082353391274137,random,1
Guaicuruan,26.0,22.5,31.0,10,0.930727523206911,random,1
Gumuz,44.0,44.0,44.0,1,,random,1
Gunwinyguan,27.0,24.0,27.0,19,0.9684550351092057,random,1
Haida,50.0,50.0,50.0,2,,random,1
Harakmbut,33.0,33.0,33.0,1,,random,1
Heibanic,40.0,31.5,44.5,6,0.9533886726310896,random,1
Hibito-Cholon,20.0,20.0,20.0,1,,random,1
Hmong-Mien,52.5,49.0,61.0,4,0.3122743354163489,random,1
Huavean,24.0,24.0,24.0,2,,random,1
Huitotoan,26.0,20.0,35.0,5,0.8418434229420266,random,1
Ijoid,40.0,36.5,43.5,6,0.9984901944669318,random,1
Indo-European,41.0,38.0,42.5,192,0.7722099582203052,random,1
Iroquoian,19.0,17.0,22.0,5,0.2900100575612439,random,1
Iwaidjan Proper,24.0,24.0,24.0,7,0.9999999999999998,random,1
Japonic,32.5,19.0,40.0,4,0.7758333370190907,random,1
Jarawa-Onge,24.0,24.0,24.0,1,,random,1
